Sexo,TempoDeEstudo,ConsumoDeAlcool,TempoLivre,Internet,EscolaridadeDaMae,EscolaridadeDoPai,MediaDeNotas
F,2,1,3,no,superior,superior,5.666666666666667
F,2,1,3,yes,primario,primario,5.333333333333333
F,2,2,3,yes,primario,primario,8.333333333333334
F,3,1,2,yes,superior,fundamental,14.666666666666666
F,2,1,3,no,medio,medio,8.666666666666666
M,2,1,4,yes,superior,medio,15.0
M,2,1,4,yes,fundamental,fundamental,11.666666666666666
F,2,1,1,no,superior,superior,5.666666666666667
M,2,1,2,yes,medio,fundamental,17.666666666666668
M,2,1,5,yes,medio,superior,14.666666666666666
F,2,1,3,yes,superior,superior,9.0
F,3,1,2,yes,fundamental,primario,11.333333333333334
M,1,1,3,yes,superior,superior,14.0
M,2,1,4,yes,superior,medio,10.333333333333334
M,3,1,5,yes,fundamental,fundamental,15.333333333333334
F,1,1,4,yes,superior,superior,14.0
F,3,1,2,yes,superior,superior,13.666666666666666
F,2,1,3,no,medio,medio,9.333333333333334
M,1,2,5,yes,medio,fundamental,5.333333333333333
M,1,1,1,yes,superior,medio,9.333333333333334
M,2,1,4,yes,superior,medio,14.0
M,1,1,4,yes,superior,superior,14.0
M,2,1,5,yes,superior,fundamental,15.333333333333334
M,2,2,4,yes,fundamental,fundamental,12.666666666666666
F,3,1,3,yes,fundamental,superior,9.0
F,1,1,2,yes,fundamental,fundamental,7.666666666666667
M,1,1,2,yes,fundamental,fundamental,11.666666666666666
M,1,2,2,yes,superior,fundamental,15.333333333333334
M,2,1,3,yes,medio,superior,11.0
M,2,5,4,yes,superior,superior,11.0
M,2,3,4,yes,superior,superior,10.666666666666666
M,2,1,3,yes,superior,superior,16.666666666666668
M,2,1,5,yes,superior,medio,16.333333333333332
M,2,1,3,yes,medio,medio,10.0
M,1,1,4,yes,medio,fundamental,13.666666666666666
F,1,1,5,no,fundamental,medio,7.0
M,3,1,4,yes,superior,medio,16.333333333333332
M,3,1,4,yes,superior,superior,15.333333333333334
F,3,1,3,yes,medio,superior,11.666666666666666
F,1,1,3,no,fundamental,fundamental,13.333333333333334
F,2,1,3,yes,fundamental,fundamental,9.333333333333334
M,1,2,4,yes,superior,superior,12.0
M,2,1,3,yes,superior,superior,18.333333333333332
M,1,1,4,yes,fundamental,fundamental,9.0
F,2,2,3,yes,fundamental,fundamental,9.666666666666666
F,2,1,2,yes,superior,medio,7.333333333333333
F,2,1,3,yes,medio,medio,11.333333333333334
M,4,1,2,yes,superior,medio,19.333333333333332
M,2,2,3,no,superior,fundamental,14.666666666666666
F,2,1,4,yes,superior,superior,7.0
F,2,2,3,yes,fundamental,fundamental,12.666666666666666
F,2,1,3,yes,superior,fundamental,12.333333333333334
M,1,3,5,no,superior,fundamental,10.666666666666666
F,1,2,3,yes,superior,superior,9.666666666666666
F,1,4,3,yes,medio,medio,12.0
F,2,1,3,yes,fundamental,primario,9.0
F,2,1,3,yes,superior,medio,14.666666666666666
M,2,1,2,no,superior,superior,14.666666666666666
M,2,1,3,yes,primario,fundamental,9.333333333333334
F,2,1,2,yes,superior,fundamental,15.666666666666666
F,2,2,4,no,superior,superior,10.666666666666666
F,1,5,5,yes,primario,primario,9.666666666666666
F,2,1,4,yes,primario,fundamental,9.0
F,3,2,4,yes,superior,medio,9.333333333333334
F,2,2,4,yes,superior,medio,10.0
F,2,1,4,yes,superior,medio,15.333333333333334
M,4,5,3,yes,superior,superior,12.666666666666666
F,4,1,3,yes,medio,primario,6.666666666666667
F,2,1,1,yes,fundamental,fundamental,8.333333333333334
F,4,2,4,yes,medio,primario,16.0
M,4,1,3,yes,medio,primario,14.333333333333334
M,4,1,3,yes,superior,fundamental,10.0
F,2,2,3,yes,primario,primario,6.333333333333333
M,1,2,3,no,medio,primario,12.666666666666666
F,2,2,3,yes,medio,medio,11.333333333333334
M,2,2,3,yes,superior,medio,9.333333333333334
F,4,1,2,yes,fundamental,fundamental,11.0
M,1,1,5,yes,fundamental,primario,8.666666666666666
F,2,1,4,yes,medio,superior,5.0
M,1,1,2,yes,fundamental,medio,11.333333333333334
M,3,1,3,yes,fundamental,medio,10.666666666666666
F,2,1,4,yes,medio,fundamental,6.333333333333333
M,2,1,3,yes,fundamental,fundamental,15.0
F,2,2,3,yes,primario,primario,9.666666666666666
F,2,2,4,yes,superior,superior,8.0
F,2,1,3,no,fundamental,fundamental,7.0
F,3,1,3,yes,superior,fundamental,13.666666666666666
M,2,1,4,yes,fundamental,fundamental,10.333333333333334
M,2,3,1,no,superior,superior,7.0
F,3,1,3,yes,medio,medio,7.333333333333333
F,1,1,5,yes,superior,medio,17.0
F,2,2,3,no,medio,primario,6.333333333333333
F,2,1,3,yes,superior,fundamental,10.333333333333334
M,4,1,3,yes,fundamental,fundamental,12.666666666666666
F,4,1,1,yes,primario,primario,9.0
M,1,1,3,yes,superior,medio,13.666666666666666
F,2,1,3,no,fundamental,primario,9.0
F,1,1,3,yes,superior,superior,13.0
F,3,1,3,yes,superior,medio,8.0
M,1,5,5,yes,superior,superior,6.333333333333333
M,3,1,4,yes,superior,superior,16.666666666666668
M,1,1,3,yes,superior,superior,12.333333333333334
F,2,1,3,yes,medio,fundamental,6.333333333333333
M,2,1,4,yes,medio,superior,17.333333333333332
F,4,1,3,no,medio,medio,10.666666666666666
F,4,1,1,yes,fundamental,fundamental,7.666666666666667
M,3,1,3,yes,medio,medio,17.333333333333332
M,4,3,3,yes,superior,superior,12.0
F,3,1,4,yes,superior,superior,15.0
M,1,1,5,yes,superior,superior,18.666666666666668
F,3,1,1,yes,medio,medio,9.0
F,2,1,1,yes,fundamental,fundamental,12.0
M,1,1,5,yes,superior,fundamental,18.666666666666668
M,2,1,4,yes,fundamental,primario,9.0
M,2,1,4,yes,superior,superior,15.333333333333334
M,2,1,4,no,superior,superior,12.666666666666666
M,1,1,4,yes,medio,medio,13.333333333333334
M,2,1,2,yes,primario,medio,8.0
M,1,1,4,yes,medio,superior,13.333333333333334
F,2,1,2,yes,primario,fundamental,15.333333333333334
M,4,1,5,yes,fundamental,fundamental,15.0
F,2,1,2,yes,fundamental,superior,13.0
M,1,1,4,yes,superior,superior,12.666666666666666
F,2,1,4,yes,fundamental,fundamental,7.666666666666667
M,1,3,5,yes,medio,superior,12.666666666666666
F,2,1,3,yes,medio,superior,9.333333333333334
M,1,1,3,yes,fundamental,fundamental,3.6666666666666665
M,1,2,5,yes,superior,superior,18.0
F,3,2,2,yes,medio,superior,4.0
F,1,1,3,yes,primario,primario,2.6666666666666665
F,1,1,4,yes,fundamental,fundamental,11.666666666666666
F,1,1,2,yes,medio,superior,11.333333333333334
M,2,1,3,no,medio,superior,3.0
F,3,1,3,yes,superior,superior,3.6666666666666665
M,2,2,4,no,medio,superior,3.3333333333333335
F,1,1,3,yes,medio,medio,1.3333333333333333
M,2,1,4,no,primario,primario,12.666666666666666
F,1,1,3,yes,superior,superior,15.666666666666666
M,4,1,2,yes,superior,medio,5.333333333333333
M,1,2,3,yes,fundamental,fundamental,9.0
F,3,1,2,yes,superior,superior,10.333333333333334
F,1,3,4,yes,primario,primario,13.666666666666666
M,1,1,4,yes,fundamental,primario,1.6666666666666667
F,2,1,4,yes,primario,primario,10.0
F,2,1,3,yes,medio,fundamental,4.333333333333333
F,2,1,3,yes,primario,fundamental,10.666666666666666
M,1,2,3,yes,superior,superior,4.333333333333333
M,1,2,5,yes,fundamental,primario,9.0
M,1,2,3,yes,primario,primario,3.6666666666666665
M,1,3,4,no,fundamental,primario,13.0
F,3,2,2,yes,medio,medio,10.0
M,1,1,5,yes,medio,fundamental,1.6666666666666667
F,1,1,2,no,superior,superior,11.333333333333334
M,2,1,4,no,fundamental,medio,9.0
M,1,3,2,no,primario,fundamental,13.666666666666666
F,1,1,2,no,primario,primario,9.0
M,1,1,2,no,fundamental,fundamental,15.666666666666666
M,2,4,5,yes,medio,medio,11.333333333333334
M,1,2,3,yes,fundamental,primario,4.333333333333333
M,2,1,4,yes,medio,fundamental,7.0
M,1,2,4,no,primario,fundamental,2.3333333333333335
M,1,1,3,yes,primario,medio,10.0
M,2,1,3,no,primario,primario,6.666666666666667
M,1,1,5,no,medio,fundamental,11.666666666666666
M,2,2,3,yes,fundamental,fundamental,10.0
F,2,1,2,yes,superior,fundamental,15.0
F,2,1,1,yes,fundamental,fundamental,4.333333333333333
F,2,1,4,yes,superior,superior,14.0
M,1,2,4,yes,medio,superior,3.6666666666666665
M,2,1,4,yes,superior,superior,11.333333333333334
F,2,1,3,yes,primario,medio,5.0
F,2,1,4,yes,medio,medio,10.0
M,2,4,4,yes,superior,medio,9.333333333333334
F,2,1,4,yes,fundamental,fundamental,12.333333333333334
M,2,1,3,yes,medio,medio,5.666666666666667
M,1,3,3,yes,superior,fundamental,9.0
M,2,1,2,yes,superior,medio,10.333333333333334
M,2,2,4,yes,superior,medio,8.333333333333334
M,2,1,2,yes,medio,medio,12.333333333333334
F,2,2,4,no,fundamental,superior,16.666666666666668
F,2,2,3,yes,medio,medio,8.666666666666666
F,2,1,2,yes,medio,fundamental,12.333333333333334
M,2,2,3,yes,medio,medio,11.666666666666666
M,1,1,3,yes,primario,fundamental,11.333333333333334
M,2,1,2,yes,fundamental,primario,15.0
F,2,1,3,yes,medio,medio,8.0
M,2,1,1,no,primario,fundamental,9.0
F,2,1,3,yes,fundamental,medio,12.0
F,2,1,3,yes,primario,primario,8.333333333333334
M,2,4,4,yes,primario,fundamental,7.666666666666667
M,1,3,3,yes,medio,medio,9.0
M,1,1,3,yes,fundamental,medio,13.666666666666666
F,2,1,3,yes,fundamental,superior,14.666666666666666
M,1,1,2,yes,superior,superior,16.0
M,1,3,3,yes,medio,medio,9.333333333333334
F,1,2,2,yes,superior,superior,18.0
F,2,1,5,yes,superior,superior,9.333333333333334
F,2,1,3,yes,superior,medio,16.0
F,2,1,4,no,fundamental,medio,9.333333333333334
F,2,1,4,no,primario,primario,9.333333333333334
F,1,1,3,yes,fundamental,fundamental,6.333333333333333
F,4,1,3,yes,fundamental,fundamental,10.333333333333334
F,3,3,4,yes,medio,superior,9.333333333333334
F,2,2,3,yes,medio,primario,7.0
F,2,1,3,yes,superior,medio,12.0
F,1,1,3,no,primario,primario,9.333333333333334
F,3,1,4,yes,superior,medio,7.0
F,4,1,3,yes,medio,medio,8.0
M,2,4,3,yes,superior,superior,12.333333333333334
F,2,1,3,yes,fundamental,fundamental,13.0
M,2,2,4,yes,fundamental,fundamental,7.0
F,1,1,2,no,superior,superior,9.333333333333334
F,2,1,4,yes,medio,fundamental,14.666666666666666
F,2,2,4,yes,superior,medio,5.333333333333333
M,2,2,2,yes,medio,medio,6.666666666666667
F,1,1,3,no,fundamental,medio,7.333333333333333
F,3,1,3,yes,fundamental,fundamental,9.666666666666666
F,2,1,2,yes,fundamental,primario,6.0
F,3,1,3,no,primario,primario,3.6666666666666665
F,2,1,3,yes,fundamental,medio,16.333333333333332
M,2,5,3,yes,fundamental,fundamental,12.666666666666666
F,3,1,3,yes,superior,superior,13.333333333333334
F,2,1,3,yes,medio,primario,8.0
F,2,1,3,yes,medio,fundamental,15.333333333333334
M,2,1,3,yes,fundamental,medio,11.666666666666666
M,2,4,3,yes,fundamental,primario,9.0
F,3,1,2,yes,fundamental,primario,11.333333333333334
F,2,1,2,yes,superior,medio,13.333333333333334
M,2,1,5,yes,fundamental,fundamental,11.0
M,2,1,5,yes,superior,superior,9.666666666666666
M,2,2,2,yes,superior,superior,13.333333333333334
M,2,1,4,yes,primario,primario,7.333333333333333
M,3,1,3,yes,medio,fundamental,10.0
M,2,5,4,yes,fundamental,fundamental,13.333333333333334
F,1,1,5,yes,fundamental,primario,12.333333333333334
F,2,1,1,no,fundamental,primario,11.666666666666666
M,2,3,5,yes,fundamental,fundamental,4.666666666666667
M,2,1,5,yes,superior,medio,12.0
M,2,2,3,yes,superior,superior,11.0
M,1,1,4,yes,superior,medio,2.0
M,1,1,3,yes,superior,superior,12.333333333333334
F,3,1,4,yes,fundamental,primario,2.3333333333333335
M,1,1,3,yes,fundamental,primario,18.0
M,1,1,2,yes,fundamental,medio,12.333333333333334
M,1,5,4,yes,medio,primario,7.333333333333333
M,2,1,3,yes,medio,medio,4.333333333333333
M,1,2,4,yes,medio,fundamental,7.333333333333333
M,2,1,3,yes,medio,medio,9.0
M,1,2,2,yes,fundamental,primario,7.666666666666667
M,1,1,3,no,fundamental,primario,8.333333333333334
M,1,2,4,yes,fundamental,primario,10.666666666666666
M,1,1,4,yes,primario,primario,8.0
F,4,1,2,yes,superior,fundamental,13.0
M,2,1,3,yes,superior,medio,11.0
M,2,1,2,yes,fundamental,primario,14.333333333333334
F,4,1,4,yes,fundamental,fundamental,6.333333333333333
F,2,1,1,yes,superior,medio,17.666666666666668
M,2,1,3,yes,superior,medio,8.0
M,3,1,3,no,medio,fundamental,12.333333333333334
F,3,1,2,no,medio,medio,9.333333333333334
F,3,1,3,yes,fundamental,fundamental,6.333333333333333
M,2,3,2,yes,medio,superior,17.0
M,2,3,4,yes,medio,primario,9.333333333333334
F,2,2,3,yes,superior,superior,11.0
M,2,1,4,yes,superior,fundamental,9.666666666666666
F,2,1,3,yes,fundamental,primario,2.0
F,2,3,3,yes,medio,medio,9.0
F,4,1,5,yes,fundamental,medio,14.333333333333334
F,2,1,4,no,primario,primario,11.0
M,2,2,5,no,primario,fundamental,14.333333333333334
F,2,1,3,yes,fundamental,superior,10.0
F,2,2,4,yes,fundamental,fundamental,12.0
F,2,1,1,yes,medio,fundamental,9.333333333333334
M,1,1,2,yes,superior,superior,9.0
F,2,1,4,yes,superior,superior,8.333333333333334
M,1,1,2,yes,superior,medio,10.333333333333334
M,1,2,5,yes,superior,primario,8.0
M,1,3,4,yes,medio,fundamental,10.0
F,4,1,2,no,primario,primario,12.0
F,2,1,4,yes,primario,primario,9.0
F,2,1,4,yes,fundamental,fundamental,10.0
M,2,1,3,yes,primario,primario,11.0
F,3,1,3,yes,fundamental,fundamental,18.333333333333332
F,3,1,3,yes,primario,primario,12.333333333333334
M,3,1,2,yes,fundamental,primario,14.333333333333334
M,2,1,4,yes,superior,superior,14.333333333333334
M,2,1,3,yes,superior,fundamental,11.333333333333334
F,3,1,2,yes,superior,medio,15.0
F,2,1,4,yes,fundamental,primario,12.333333333333334
F,4,1,1,no,medio,primario,18.0
M,3,1,4,yes,medio,fundamental,13.666666666666666
M,1,1,4,yes,medio,medio,12.333333333333334
F,2,2,3,yes,superior,superior,6.333333333333333
F,2,1,4,yes,superior,medio,8.666666666666666
F,4,1,3,yes,superior,medio,13.666666666666666
M,1,2,4,yes,superior,superior,15.666666666666666
F,2,1,2,yes,superior,superior,11.0
M,1,2,1,yes,superior,superior,10.666666666666666
F,3,1,3,yes,superior,fundamental,13.666666666666666
F,4,1,2,yes,medio,fundamental,17.333333333333332
M,2,1,4,yes,medio,medio,14.0
F,2,1,4,yes,fundamental,superior,12.666666666666666
M,1,1,5,no,medio,fundamental,17.666666666666668
M,1,1,3,yes,superior,superior,8.333333333333334
M,2,1,5,no,medio,medio,13.0
F,2,1,4,yes,primario,primario,10.666666666666666
F,2,2,2,no,primario,fundamental,6.0
F,2,1,4,yes,fundamental,primario,13.0
M,2,2,5,yes,primario,fundamental,11.666666666666666
F,2,1,2,yes,medio,fundamental,11.333333333333334
F,3,1,1,yes,primario,primario,13.666666666666666
F,3,1,1,yes,fundamental,medio,11.666666666666666
F,2,1,3,yes,fundamental,primario,5.333333333333333
F,3,1,3,yes,superior,medio,9.333333333333334
F,3,2,3,yes,medio,superior,10.666666666666666
F,2,3,4,yes,superior,superior,11.0
F,2,1,2,yes,superior,medio,13.0
F,2,1,2,no,fundamental,fundamental,9.666666666666666
F,3,2,3,yes,fundamental,fundamental,11.0
F,3,2,4,yes,medio,primario,13.666666666666666
M,3,2,3,yes,superior,superior,10.666666666666666
M,1,3,3,yes,medio,medio,15.0
M,1,5,4,yes,fundamental,fundamental,10.333333333333334
F,3,1,4,yes,superior,superior,9.333333333333334
F,3,1,3,yes,superior,superior,14.0
M,4,2,5,yes,fundamental,fundamental,8.333333333333334
F,3,1,4,yes,fundamental,superior,13.333333333333334
F,2,1,3,yes,medio,medio,2.3333333333333335
F,2,1,3,yes,fundamental,fundamental,5.333333333333333
F,4,1,4,no,fundamental,fundamental,6.333333333333333
F,3,1,4,yes,medio,superior,15.333333333333334
F,3,1,4,no,medio,primario,13.333333333333334
F,2,2,3,yes,medio,fundamental,5.0
F,4,1,3,yes,medio,medio,16.0
F,2,2,3,yes,medio,fundamental,9.666666666666666
F,3,1,3,yes,fundamental,primario,11.333333333333334
M,2,2,3,yes,superior,superior,6.666666666666667
M,2,1,3,yes,medio,superior,15.333333333333334
F,2,1,3,yes,fundamental,fundamental,5.666666666666667
F,3,1,3,yes,fundamental,medio,10.333333333333334
F,3,2,4,yes,medio,fundamental,13.333333333333334
M,3,1,3,yes,superior,medio,15.666666666666666
M,3,2,4,yes,superior,medio,9.666666666666666
F,3,1,4,yes,superior,medio,14.333333333333334
M,1,5,5,yes,medio,fundamental,12.333333333333334
M,2,3,4,yes,primario,primario,7.666666666666667
M,2,2,5,yes,medio,medio,13.0
M,1,2,3,yes,primario,medio,7.666666666666667
M,1,3,4,yes,primario,primario,8.0
M,2,1,5,yes,superior,medio,11.666666666666666
F,2,1,3,no,medio,medio,9.333333333333334
F,2,1,3,yes,superior,superior,12.666666666666666
F,2,1,2,no,medio,fundamental,11.666666666666666
M,1,1,3,yes,primario,primario,10.0
F,3,1,3,yes,primario,primario,16.666666666666668
F,2,1,3,no,primario,superior,13.0
M,2,2,4,no,primario,primario,12.333333333333334
F,2,1,3,yes,medio,medio,10.666666666666666
F,2,1,3,yes,superior,superior,15.333333333333334
F,2,1,2,no,primario,fundamental,11.666666666666666
M,2,2,3,no,primario,medio,10.0
M,3,2,2,yes,superior,superior,13.0
F,1,1,2,yes,primario,primario,4.333333333333333
F,1,1,2,yes,fundamental,medio,10.333333333333334
F,2,4,2,yes,superior,superior,12.333333333333334
F,2,1,2,no,medio,fundamental,7.666666666666667
M,1,2,3,yes,primario,fundamental,12.666666666666666
F,3,1,4,no,fundamental,fundamental,11.666666666666666
F,1,1,5,yes,primario,fundamental,5.333333333333333
F,3,1,4,yes,superior,superior,18.666666666666668
F,3,1,3,yes,primario,primario,8.666666666666666
F,3,1,4,yes,superior,fundamental,14.666666666666666
F,2,3,4,yes,superior,superior,9.0
F,2,1,1,yes,medio,medio,15.0
F,2,2,5,yes,medio,primario,10.0
M,2,1,2,yes,superior,superior,14.333333333333334
M,1,1,4,yes,fundamental,primario,6.666666666666667
M,2,1,4,yes,fundamental,medio,10.666666666666666
M,1,1,3,no,primario,primario,3.6666666666666665
M,1,4,4,no,superior,fundamental,5.333333333333333
F,3,1,3,no,fundamental,fundamental,9.666666666666666
F,1,2,4,yes,superior,superior,5.666666666666667
F,3,1,4,yes,fundamental,medio,4.0
F,2,1,3,yes,medio,primario,8.0
F,2,1,1,no,primario,primario,3.6666666666666665
M,2,4,5,no,fundamental,fundamental,9.0
M,1,3,4,yes,medio,primario,15.333333333333334
M,1,3,5,no,primario,primario,8.333333333333334
M,1,3,4,yes,medio,fundamental,11.0
M,1,3,2,yes,primario,primario,8.666666666666666
